ID,NAME,ABBR,GEOM0LAT,GEOM0LON,GEOM0BBOX,GEOM0AREA,LINEAGE0COUNTRY0ID,LINEAGE0COUNTRY0NAME,LINEAGE0COUNTRY0ABBR,LINEAGE0MACROREGION0ID,LINEAGE0MACROREGION0NAME,LINEAGE0MACROREGION0ABBR,LINEAGE0REGION0ID,LINEAGE0REGION0NAME,LINEAGE0REGION0ABBR,LINEAGE0LOCALADMIN0ID,LINEAGE0LOCALADMIN0NAME,LINEAGE0LOCALADMIN0ABBR,LINEAGE0LOCALITY0ID,LINEAGE0LOCALITY0NAME,LINEAGE0LOCALITY0ABBR,PLACETYPE
0340819240,Robledo de Corpes,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819240,Robledo de Corpes,,,,,localadmin
0340819241,Romanillos de Atienza,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819241,Romanillos de Atienza,,,,,localadmin
0340819242,Romanones,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819242,Romanones,,,,,localadmin
0340819243,Rueda de la Sierra,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819243,Rueda de la Sierra,,,,,localadmin
0340819244,Sacecorbo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819244,Sacecorbo,,,,,localadmin
0340819245,Sacedón,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819245,Sacedón,,,,,localadmin
0340819246,Saelices de la Sal,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819246,Saelices de la Sal,,,,,localadmin
0340819247,Salmerón,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819247,Salmerón,,,,,localadmin
0340819248,San Andrés del Congosto,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819248,San Andrés del Congosto,,,,,localadmin
0340819249,San Andrés del Rey,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819249,San Andrés del Rey,,,,,localadmin
